ID,Meal Name,Ingredients
91,Pecan Sour Cream Coffee Cake,"1 ½ cups pecans, finely chopped, ⅓ cup white sugar, ⅓ cup packed light brown sugar, 3 tablespoons melted butter, 1 teaspoon cinnamon, ⅛ teaspoon salt, 1 ⅞ cups all-purpose flour, 1 teaspoon baking powder, ¾ teaspoon baking soda, ½ teaspoon fine sea salt, 1 cup white sugar, ½ cup unsalted butter, softened, 2 large eggs, 1 cup sour cream or creme fraiche, 1 ½ teaspoons vanilla extract, "
92,Cinnamon Hazelnut Biscotti,"¾ cup butter, 1 cup white sugar, 2 large eggs, 1 ½ teaspoons vanilla extract, 2 ½ cups all-purpose flour, 1 teaspoon ground cinnamon, ¾ teaspoon baking powder, ½ teaspoon salt, 1 cup hazelnuts, "
93,Chef John's Croissants,"1 cup warm water (100 degrees F or 38 degrees C), 1 (.25 ounce) package active dry yeast, ¼ cup granulated white sugar, 3 ½ cups unbleached bread flour, 3 teaspoons kosher salt, 6 tablespoons butter, room temperature, cut into pieces, 2 sticks unsalted European-style butter, 1  egg, 1 tablespoon water, "
94,Amazing Lemon Scones,"3 cups all-purpose flour, ⅓ cup white sugar, 1 ½ teaspoons baking powder, 1 ½ teaspoons baking soda, ⅓ teaspoon salt, ¾ cup cold butter, cut into pieces, 9 tablespoons milk, 3 tablespoons lemon juice, 2 ½ teaspoons lemon zest, 1 ½ teaspoons vinegar, 2 cups confectioners' sugar, ⅓ cup butter, melted, 2 ½ tablespoons lemon juice, ½ teaspoon vanilla extract, 2 tablespoons water, or as needed, "
95,No-Bake Chocolate Oat Bars,"1 cup butter, ½ cup packed brown sugar, 1 teaspoon vanilla extract, 3 cups quick cooking oats, 1 cup semisweet chocolate chips, ½ cup peanut butter, "
96,Banana Chocolate Chip Bread,"2 cups all-purpose flour, 1 teaspoon baking powder, 1 teaspoon baking soda, 1 teaspoon salt, 3  ripe bananas, mashed, 1 tablespoon milk, 1 teaspoon ground cinnamon, or to taste, 1 cup white sugar, ½ cup butter, softened, 2 large eggs, 1 cup semisweet chocolate chips, "
97,White Chocolate Blondies,"8 ounces white chocolate, chopped, ½ cup butter, softened, 1 ¼ cups all-purpose flour, ¾ teaspoon salt, 2 large eggs, ⅓ cup white sugar, 1 tablespoon vanilla extract, 1 cup semisweet chocolate chips, "
98,Chef John's Chocolate Croissants,"½ cup warm water (100 degrees F or 38 degrees C), ½ (.25 ounce) package active dry yeast, 2 tablespoons granulated white sugar, 1 ¾ cups unbleached bread flour, 1 ½ teaspoons kosher salt, 3 tablespoons butter, room temperature, cut into pieces, 1 stick unsalted European-style butter, 1 cup chopped bittersweet chocolate, 1  egg, 1 tablespoon water, 1 pinch coarse sea salt to taste, "
99,"Best Big, Fat, Chewy Chocolate Chip Cookie","2 cups all-purpose flour, ½ teaspoon baking soda, ½ teaspoon salt, 1 cup packed brown sugar, ¾ cup unsalted butter, melted, ½ cup white sugar, 1 large egg, 1  egg yolk, 1 tablespoon vanilla extract, 2 cups semisweet chocolate chips, "
100,Lemon Ricotta Cake,"1 ½ cups cake flour, 1 teaspoon baking powder, 1 teaspoon baking soda, ¼ teaspoon salt, 1 cup white sugar, ¾ cup butter, softened, 3 large eggs at room temperature, 1 (15 ounce) container whole-milk ricotta cheese, 1  lemon, juiced and zested, 1 teaspoon lemon extract, ½ teaspoon vanilla extract, 1 cup powdered sugar, or as needed, 2 tablespoons lemon juice, or as needed, 1 tablespoon lemon zest, "
101,Cinnamon Coffee Cake Muffins,"1 cup chopped pecans, ¾ cup packed brown sugar, 1 tablespoon ground cinnamon, 2 cups cake flour, 2 teaspoons baking powder, ½ teaspoon salt, ¾ cup milk, 2 teaspoons vanilla extract, 1 ½ teaspoons instant coffee granules, 1 cup white sugar, ½ cup unsalted butter, softened, 4 large eggs, ½ cup unsweetened applesauce, "
102,Easy Cream Cheese Danish,"2 (10 ounce) cans refrigerated crescent roll dough, 2 (8 ounce) packages cream cheese, diced, ¾ cup white sugar, 1 ½ teaspoons lemon juice, 1 teaspoon vanilla extract, 2 teaspoons sour cream, 1 cup confectioners' sugar, 1 tablespoon milk, 1 tablespoon butter, softened, "
103,Best Cake Doughnuts,"2 cups all-purpose flour, ½ cup white sugar, 1 tablespoon baking powder, 1 teaspoon salt, ¼ teaspoon ground cinnamon, 1 dash ground nutmeg, 2 tablespoons melted butter, ½ cup milk, 1  egg, beaten, 1 quart oil for frying, "
104,Cinnamon Palmiers,"⅓ cup white sugar, ¾ teaspoon ground cinnamon, ⅛ teaspoon ground cardamom, ¼ cup white sugar, 1 sheet frozen puff pastry, thawed, 1 tablespoon butter, melted, "
